left,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
ajf,0.7632761598,0.8966450095,0.8943760395,0.8445426226,0.7668091059,0.680325985,0.7820116282,0.8299092054,0.8167036772,0.7998497486,0.8189354539,0.8299149871,0.787494421,0.7309656143,0.7613030076,0.7621026039,0.8947054148,0.924862802,0.8146548271,0.7135842443
ajk,0.8537547588,0.8812006712,0.789572835,0.7810995579,0.8786181808,0.8912749887,0.8351412416,0.6384747624,0.7187075615,0.6539287567,0.8803257346,0.7244332433,0.6319024563,0.7552760839,0.8039389849,0.7601528168,0.8663678169,0.9437826276,0.6601135731,0.8329546452
aka,0.7618457079,0.7962163091,0.7250887156,0.7396557331,0.8684116602,0.7973790765,0.781416893,0.8502045274,0.7900861502,0.8636676669,0.8653728962,0.7424729466,0.7722426057,0.7719587088,0.802687943,0.7356352806,0.7955271006,0.8078240156,0.8308216333,0.8461276889
akg,0.6906009912,0.7695733905,0.7470885515,0.8562966585,0.7977288365,0.8103892803,0.6145398021,0.7734684944,0.6882894039,0.6145581007,0.7786509991,0.8251335621,0.9200552702,0.7864849567,0.8136917949,0.8730806112,0.7757043242,0.6937787533,0.9333574772,0.7295674086
alc,0.7143782973,0.7674150467,0.7370420694,0.8594376445,0.6551807523,0.7353177071,0.861638546,0.8916666508,0.8421973586,0.806260705,0.8771725893,0.7547335625,0.7453699708,0.8702295423,0.9009575844,0.7226512432,0.8490656614,0.7670488358,0.7884506583,0.8014198542
ali,0.7176985145,0.9197019339,0.9461555481,0.8769695163,0.7635058165,0.6891121268,0.9022135139,0.8778396845,0.767852962,0.7095144987,0.7862861753,0.8181293607,0.7063687444,0.7900823355,0.830217123,0.8607544899,0.8144381046,0.8585525751,0.8831640482,0.7069243789
alt,0.6684749722,0.8142453432,0.8911004663,0.861690104,0.8261111379,0.7809853554,0.7482213378,0.7803779244,0.7542589903,0.8321506381,0.8060314655,0.883272171,0.8441467881,0.6644086838,0.8638315201,0.8175377846,0.8389208317,0.8576703072,0.7131903172,0.8286520243
alx,0.7956997156,0.7734498978,0.7119506598,0.8152650595,0.8533490896,0.7864367366,0.7821326256,0.8550810814,0.8693759441,0.8693417311,0.8535661697,0.8154988289,0.8883777261,0.9122533798,0.8379160166,0.6902438402,0.8074193597,0.855468154,0.8624776602,0.8610009551
aly,0.8126448989,0.8307801485,0.8783712387,0.6995508075,0.7888716459,0.827708602,0.8451813459,0.7590919733,0.8304407001,0.8388285637,0.7955367565,0.671209693,0.654179275,0.7868640423,0.8661943674,0.8045364618,0.749022007,0.7043443918,0.691303432,0.725233078
ama,0.8348190188,0.7459568381,0.8311194181,0.8831470609,0.848182559,0.7537925839,0.8014217019,0.8544316292,0.8484401703,0.7761282921,0.8433023691,0.7769728899,0.6489516497,0.8067108393,0.7115272284,0.8078995943,0.7578425407,0.875457406,0.830557704,0.7481667995
amb,0.827355504,0.8026518822,0.8331363201,0.7483173013,0.8662980795,0.8817465305,0.7294968367,0.8261361718,0.8103384972,0.7818909883,0.8073203564,0.7864698172,0.8659667373,0.779430151,0.8623709679,0.8009873629,0.8131531477,0.782621026,0.7427498102,0.8558292389
amd,0.746276021,0.7536947727,0.8046399951,0.7774134278,0.6919504404,0.787340045,0.643948555,0.7234066725,0.6774632931,0.6746552587,0.7431070209,0.7139840722,0.6633583307,0.8683618307,0.7415961027,0.7703815103,0.7332035899,0.7253631353,0.7482801676,0.7652972341
amg,0.5785014033,0.7722212076,0.8044055104,0.7665842772,0.6436699629,0.8793983459,0.6920112371,0.9128696918,0.7718214989,0.6706977487,0.7861353159,0.7616991401,0.7289463878,0.6989870667,0.825289011,0.8395159245,0.7118537426,0.7383934855,0.7455972433,0.690907836
amh,0.792555809,0.8858168125,0.9192571044,0.8269159794,0.7692498565,0.6594074368,0.7580392361,0.683796227,0.888846457,0.7857586741,0.7091360092,0.785990715,0.6889807582,0.8426008224,0.8394753933,0.7544789314,0.8413178921,0.6827890873,0.9028132558,0.7083957195
amn,0.7266266346,0.6432307363,0.853558898,0.8194197416,0.7412439585,0.6994178295,0.6373004913,0.7401942015,0.8429037333,0.6845269799,0.7375384569,0.9037402272,0.7945694923,0.7492127419,0.6385519505,0.8921650648,0.8090065718,0.8496952057,0.8433676958,0.8006511927
amq,0.7787527442,0.7843750715,0.889303565,0.7883464098,0.7868267894,0.7733594179,0.761362195,0.7367922068,0.6996763349,0.8428732157,0.7522842884,0.8197314739,0.744876802,0.8055711985,0.8029103279,0.8504486084,0.7494318485,0.8646832108,0.8165470362,0.7770047188
aop,0.7623786926,0.65721488,0.7127969861,0.6999200583,0.6817474365,0.9274922609,0.7958987951,0.6496539116,0.7163468003,0.7370896339,0.8199672103,0.7871431112,0.677446425,0.7933465242,0.7806190252,0.6932457685,0.8159018159,0.7937276363,0.8884865046,0.6600894928
aoq,0.8237500191,0.8439612389,0.7309910655,0.8507165909,0.7990784049,0.8856858015,0.8119127154,0.7329213023,0.6559292078,0.8166935444,0.868242979,0.8674276471,0.8481066227,0.6991645098,0.8622246981,0.8186613321,0.7980217934,0.8201246262,0.6335132718,0.7183534503
aoy,0.8469599485,0.8881218433,0.8529946804,0.8574621677,0.8414836526,0.8895226717,0.7022923231,0.8345351219,0.7845836878,0.7116364241,0.7968655229,0.7890912294,0.809651494,0.887562871,0.7265545726,0.8202265501,0.8708258867,0.8315423727,0.7249488831,0.823322773
app,0.7815498114,0.7331461906,0.8047180176,0.8711543679,0.7771885395,0.9254729748,0.8059064746,0.7604296207,0.8474135995,0.7574870586,0.7529671192,0.768193543,0.833873868,0.8260624409,0.772890389,0.831472218,0.7379149795,0.7991740108,0.6179991961,0.7036263943
apx,0.7830706835,0.8473388553,0.7832103968,0.8352850676,0.8235505819,0.8378472328,0.7708296776,0.7909604907,0.8625247478,0.8192135692,0.8091893196,0.8263893127,0.770449996,0.6708551645,0.8911812901,0.8049474359,0.8192886114,0.7161400318,0.8247623444,0.7732312679
aqd,0.8043003082,0.6701283455,0.7944154739,0.6714320183,0.697801888,0.8494832516,0.8390619755,0.9477450252,0.7920538187,0.7666351795,0.9120990634,0.7537505627,0.8658001423,0.8483538628,0.7902866006,0.8686995506,0.6756603718,0.7815949917,0.8357623816,0.8387023211
aqt,0.8330997229,0.7930835485,0.7887294888,0.7686470747,0.78652668,0.8861711025,0.7287216783,0.8225173354,0.8872263432,0.7665284872,0.8210711479,0.8082373738,0.8639042974,0.763715744,0.8565130234,0.8006020188,0.7311712503,0.8818917274,0.8098967075,0.7851376534
ara,0.803778708,0.6789141297,0.9079986215,0.8157336712,0.7126122117,0.8439335823,0.8360247612,0.7657544613,0.6966222525,0.7108676434,0.8728371859,0.7940613627,0.7962568998,0.7484024763,0.8053251505,0.8874986172,0.7322877049,0.782438755,0.8075200915,0.8098874688
arq,0.8464737535,0.8160840273,0.8047049046,0.7606877089,0.8588918447,0.8279446363,0.843916893,0.7639322877,0.8438064456,0.7993889451,0.8449778557,0.7784816027,0.8602427244,0.7722059488,0.6488605738,0.8657670617,0.8140565157,0.8476589322,0.9106994867,0.8106976748
aru,0.8197056055,0.8697645664,0.8000611067,0.7605088949,0.8632596135,0.8099830151,0.8599076867,0.818220675,0.8156889677,0.8617526889,0.9178779125,0.8780684471,0.8559588194,0.8886950612,0.9083473086,0.8731657267,0.6857589483,0.9176565409,0.7321954966,0.8661016226
asf,0.7634809017,0.7377328277,0.8358489275,0.8351281881,0.800314188,0.7733968496,0.803689003,0.8110501766,0.7989377379,0.8516863585,0.8514083028,0.8424758911,0.7581968904,0.7939141393,0.8042681217,0.7419118285,0.8417441845,0.7654625177,0.8024581671,0.6904406548
ass,0.8110870123,0.810591042,0.7921134233,0.8594294786,0.8115701675,0.8640218973,0.8409335017,0.8493455648,0.7478886843,0.8357615471,0.8679037094,0.8055738211,0.8455010653,0.8634995222,0.7629199028,0.8948613405,0.8900600672,0.8986209631,0.845202148,0.8678933382
ate,0.7882268429,0.8390999436,0.8567149639,0.8170722127,0.7934844494,0.8210956454,0.7259585857,0.7773000002,0.7311091423,0.8032246232,0.8150935173,0.8953431845,0.7768416405,0.8231770992,0.7743711472,0.8567857742,0.8459554911,0.8787404299,0.7627978325,0.6460412741
atf,0.7557862997,0.7949592471,0.7765548229,0.828106761,0.7883005142,0.8403511047,0.6637221575,0.6938647628,0.8040603399,0.8382964134,0.7556515932,0.6189684868,0.8274490833,0.8154549599,0.70626688,0.6609830856,0.842854917,0.6954902411,0.9512915611,0.8514930606
atj,0.8774182796,0.870953083,0.7584559917,0.8390017748,0.7004743814,0.7081539035,0.7704085112,0.7929097414,0.8831717968,0.8863472939,0.750087738,0.7840087414,0.9300873876,0.7380014658,0.7868865728,0.895875752,0.7581856251,0.778534174,0.8530176878,0.7637733221
atv,0.7122617364,0.8107526302,0.7545939684,0.7986550331,0.7734444141,0.7346105576,0.7778517604,0.7523903847,0.7457872629,0.8336644173,0.7772722244,0.8085113764,0.7268563509,0.806656003,0.7818864584,0.7237721086,0.7824399471,0.7486125231,0.7390723228,0.7487157583
auc,0.9481725693,0.7589892745,0.8663439751,0.7398905754,0.8091136217,0.8944030404,0.8323987126,0.5959305167,0.7474020123,0.8740617037,0.8625250459,0.8231033087,0.8151416779,0.7559546828,0.754748702,0.807233274,0.8807207346,0.8819440007,0.7967973948,0.858766675
aul,0.793076396,0.804017067,0.7623029947,0.7131282091,0.8038958311,0.8678658009,0.8449544907,0.8022990227,0.8430367708,0.8387861848,0.7023914456,0.7999919653,0.6994704008,0.8156245947,0.7501583099,0.8331985474,0.8106297255,0.8288033605,0.7340040803,0.8386271
avp,0.781784296,0.8367661238,0.856128335,0.7158383131,0.7482295036,0.7995830774,0.8450357914,0.7485712171,0.8267102242,0.9296040535,0.8173811436,0.88961339,0.8159074783,0.8886553049,0.9244987965,0.7979585528,0.8049371243,0.799708128,0.8861436844,0.8892626166
awk,0.7151480913,0.7094446421,0.8576260805,0.8334053755,0.7198091149,0.8025761843,0.8511964083,0.7187165022,0.9217126966,0.8164680004,0.7955857515,0.772352159,0.8434278965,0.7514775395,0.7280686498,0.903788209,0.89851439,0.8493400812,0.880956471,0.6845026016
awp,0.806281507,0.8028697968,0.8047190905,0.7617103457,0.7933404446,0.8204678297,0.7608168721,0.7493009567,0.7943121791,0.7780073881,0.7504863143,0.8019421101,0.7388635874,0.7652848363,0.7905614376,0.7271170616,0.8951324224,0.7140598297,0.6818552613,0.7733134627
awu,0.8040878773,0.8803496361,0.7992318869,0.8536981344,0.748200953,0.7034050226,0.7551079988,0.8815795779,0.7334625125,0.6824883819,0.7207733989,0.7395240068,0.7621055841,0.9132679701,0.760981679,0.7312592268,0.7078891993,0.6754255891,0.7390148044,0.9263673425
axn,0.8324047923,0.8102542162,0.8220885396,0.7704842687,0.8516953588,0.7488571405,0.755638659,0.7453249693,0.7704882026,0.8477381468,0.7955587506,0.7987778187,0.7897405624,0.802308321,0.771874547,0.7267943621,0.8275571465,0.6824836135,0.8279466629,0.8017965555
axo,0.615013957,0.8542990088,0.8013318777,0.6438684464,0.7982598543,0.7363821268,0.6683071852,0.6985309124,0.7366595864,0.7211641073,0.7069820166,0.8070608377,0.7919377089,0.6566252112,0.739315033,0.825763464,0.7989947796,0.7577741146,0.8895888329,0.6183643341
axp,0.8016153574,0.8379889727,0.7818298936,0.7871694565,0.8734529614,0.8994873762,0.786711514,0.8177124262,0.8210281134,0.8522908688,0.7882457376,0.8195157647,0.7748458385,0.8223319054,0.8414610624,0.8603057861,0.7975729704,0.8032054901,0.9050378799,0.8127760291
ayc,0.920475781,0.8599789143,0.7894346714,0.860462606,0.8704564571,0.8239295483,0.8256418705,0.8717337847,0.8312013149,0.8019687533,0.8977838755,0.7904417515,0.7876733541,0.8597406149,0.8295323849,0.8527816534,0.8230655193,0.8861723542,0.8125267625,0.6894826889
ayg,0.8317703009,0.7741580009,0.7056812644,0.9182614684,0.8161014915,0.7362898588,0.8246524334,0.8283778429,0.8406847715,0.838909328,0.7097890377,0.7685418129,0.7583291531,0.7255479693,0.8052191734,0.6061398983,0.8265018463,0.7124074697,0.8031185269,0.8078861237
azb,0.8394389153,0.8128584027,0.7833168507,0.862612009,0.9130185246,0.9010102749,0.7390541434,0.8378509283,0.7252953053,0.7343129516,0.8258163333,0.7948077917,0.7284839153,0.8667894602,0.7856321335,0.7849879265,0.6472275853,0.8355638981,0.8494321108,0.7510486841
azo,0.8136122227,0.8018192649,0.8857278824,0.7388273478,0.8063631058,0.8521760702,0.8547177315,0.8254073262,0.8882442713,0.843605876,0.8010917306,0.6884578466,0.8367198706,0.7820541859,0.8448578715,0.8380917907,0.9186654091,0.8300434351,0.7174091935,0.8595833182
ban,0.8671051264,0.8278342485,0.8460384607,0.8866798878,0.8454528451,0.8635590076,0.7689974308,0.8938906193,0.7681574225,0.8883838654,0.9026361704,0.8393806219,0.8382948637,0.8793166876,0.8680195808,0.8551479578,0.7723149061,0.8500733972,0.8501743674,0.8480942249
bao,0.7479869723,0.8281321526,0.6948357821,0.6888776422,0.913205266,0.6920030117,0.7832292318,0.7227790356,0.727830708,0.8579958677,0.8595291376,0.8361792564,0.7201604843,0.7550603747,0.6498509049,0.8161469102,0.7795100212,0.780744195,0.790396452,0.8187670708
bar,0.7933188677,0.7391295433,0.6962347031,0.6278401017,0.7338291407,0.7954391241,0.7578387856,0.6805095077,0.7411921024,0.6518290639,0.6808651686,0.751386404,0.7649753094,0.720443964,0.6859533787,0.7435575128,0.7404946089,0.8101536036,0.5978540182,0.7531628013
bas,0.7615157962,0.8612228632,0.8235690594,0.7190076113,0.7949870825,0.7945838571,0.6746006012,0.6984702945,0.8621017933,0.8082416058,0.8075745106,0.8421568274,0.7867270708,0.7615965605,0.7616770267,0.656534493,0.7449061871,0.7564637661,0.6972062588,0.6967464685
bbn,0.7746428847,0.7441064119,0.8125765324,0.8378777504,0.770994246,0.732945621,0.807171464,0.8269720674,0.8455328941,0.7765396833,0.6903449893,0.674443543,0.8267503977,0.7873544693,0.7877805233,0.7603206635,0.7998470068,0.8263146877,0.8387833834,0.838514328
bbt,0.7154875994,0.7916150689,0.7459263802,0.8057259321,0.7889114618,0.7676838636,0.7872573733,0.7550840974,0.8450929523,0.7235084176,0.9448812008,0.7423125505,0.8628951311,0.8686727881,0.7852854729,0.8520077467,0.7239549756,0.71812886,0.7407977581,0.7894048691
bcf,0.7718446255,0.7585006952,0.757190764,0.6617838144,0.8372408152,0.8393631577,0.7954959869,0.8385637403,0.8158581257,0.7489421964,0.9517171979,0.7224823236,0.8184310198,0.8501157761,0.8087970018,0.8266146183,0.8453777432,0.8114361763,0.8248081207,0.7071152329
bcg,0.8594827652,0.7611691952,0.8684160113,0.852841258,0.8000156879,0.7983880043,0.8787747622,0.844892025,0.7932122946,0.8555495739,0.8196145892,0.827385664,0.8354150057,0.8635638952,0.854866147,0.7292127013,0.8202803135,0.7616481185,0.8512390852,0.8372066021
bci,0.8403628469,0.8609501123,0.8611238003,0.732046783,0.7707475424,0.7863188982,0.758616209,0.8205305338,0.683121562,0.8650691509,0.8994621634,0.8901602626,0.7291468382,0.8562996387,0.824442625,0.8952060938,0.7614302635,0.7743782997,0.869545579,0.8155255914
bcj,0.7381824851,0.8038939238,0.8320554495,0.8920766115,0.8004028201,0.8166375756,0.8466889858,0.8396911621,0.8521788716,0.8785536289,0.7945818901,0.8025182486,0.8393833041,0.7513304949,0.8479588032,0.8052002192,0.8035045266,0.792042613,0.794457972,0.8691663742
bcn,0.7960002422,0.8612924218,0.7542930841,0.8834454417,0.8304002285,0.7346823812,0.9008806944,0.8255239725,0.7611781359,0.8355748653,0.8128875494,0.8353660107,0.8110536337,0.8644448519,0.8373535872,0.8884631395,0.7833254337,0.8592985868,0.8770232201,0.8139912486
bcw,0.8095419407,0.8384769559,0.7479569316,0.8535087705,0.8905810118,0.875784874,0.8872669935,0.8445640802,0.8939193487,0.8511881232,0.759659946,0.7454010844,0.8007702827,0.8717317581,0.8797747493,0.8245462179,0.8149377108,0.8837440014,0.8303697109,0.8864071965
bdv,0.8750439882,0.8444163799,0.7479221821,0.7226370573,0.85394454,0.8331871629,0.7213062048,0.799963057,0.7825081348,0.8684766293,0.7479301691,0.7102391124,0.8089565635,0.8304485083,0.8341718912,0.8704813719,0.7910704017,0.826869607,0.9160728455,0.8817008138
bep,0.8074765801,0.7581574321,0.7226623297,0.8404064178,0.8625794649,0.7324405909,0.7682186365,0.8297302723,0.8472031355,0.864636898,0.6909930706,0.8088347912,0.8699877858,0.7332549691,0.7740280628,0.8125756979,0.8121241331,0.7436139584,0.8411019444,0.7190504074
bew,0.5583054423,0.700112462,0.6498606205,0.822067976,0.6843030453,0.6824371815,0.7242659926,0.9122885466,0.6673716307,0.7077854872,0.7649655938,0.5927953124,0.6205196381,0.8758749962,0.5732597113,0.6066581011,0.6392080784,0.6826804876,0.7530134916,0.8537864685
bfc,0.8553013206,0.8551316857,0.7879319191,0.8259524107,0.8785552979,0.8665550947,0.8334136605,0.7943899632,0.8043413162,0.8265402317,0.8369157314,0.8310046196,0.8445699215,0.7329513431,0.7766726017,0.9014418721,0.8790826797,0.7730169296,0.7880368829,0.8414634466
bft,0.7659307718,0.8091744781,0.8496066332,0.7579468489,0.6983822584,0.7391523719,0.7440608144,0.790496707,0.784594059,0.7466182113,0.7460975647,0.7772790194,0.6617289782,0.751371026,0.6108850837,0.6981057525,0.7166123986,0.7978744507,0.7037025094,0.8355804682
bfx,0.8579325676,0.7315551043,0.830502212,0.7556885481,0.829365015,0.8498710394,0.7778578401,0.7534823418,0.7457579374,0.7642180324,0.780569613,0.8084335327,0.8082023859,0.8077726364,0.6840646267,0.7608544827,0.8100032806,0.81270504,0.785933435,0.8292862177
bhw,0.6493929029,0.7797540426,0.8438693881,0.7841312885,0.8161123991,0.803814888,0.796818018,0.8278901577,0.8149408102,0.7759310603,0.7827819586,0.7784591317,0.7095160484,0.760204494,0.7397190928,0.7598243356,0.8008749485,0.6536474228,0.7803301215,0.7367635965
bim,0.823092103,0.7193914652,0.7870074511,0.8042635918,0.8711684942,0.6637157202,0.7196422219,0.687965095,0.9098263979,0.8325040936,0.8267707825,0.8102534413,0.8785019517,0.765888989,0.7593394518,0.7843182087,0.750977397,0.7529724836,0.7896373272,0.8174635172
bis,0.8192571402,0.7540572882,0.7773077488,0.7324360013,0.8233771324,0.8177427053,0.8651748896,0.7402373552,0.7621780634,0.8195931911,0.614294529,0.840672493,0.7566642761,0.9294340611,0.8142926097,0.7903630733,0.8843041658,0.7853046656,0.909386158,0.758305192
biu,0.8435601592,0.7713212967,0.9176828265,0.7705877423,0.7403526902,0.8625517488,0.8867912292,0.8559873104,0.865238905,0.8775194883,0.8130815029,0.8325866461,0.8543966413,0.8662656546,0.7388281226,0.8128545284,0.8794925213,0.8195437193,0.8425699472,0.8852097988
bjq,0.8039697409,0.8429142237,0.8980947733,0.805794239,0.8131351471,0.8309919834,0.7608506083,0.7384858131,0.7079694867,0.7195080519,0.8084323406,0.8485785723,0.820769906,0.7419497967,0.8117063046,0.8367203474,0.7639763355,0.6498025656,0.7521392107,0.7958568931
bjr,0.8060331345,0.7453341484,0.8395065069,0.8076418042,0.7554690838,0.8097289801,0.7921468019,0.8818380237,0.7214384079,0.7256308198,0.837880969,0.7964639664,0.753059864,0.8551775217,0.8655107617,0.656532824,0.8543162346,0.9454723597,0.7723024487,0.7915164232
bkt,0.7889739275,0.7402089834,0.8919959664,0.7444958687,0.7605305314,0.7412569523,0.8257329464,0.7241437435,0.7903007865,0.7937951088,0.7235894799,0.8849558234,0.7981314659,0.7451835871,0.7226412296,0.7144576311,0.7344454527,0.8255743384,0.8355534077,0.7400666475
blg,0.8448511958,0.8749376535,0.7791575193,0.8024276495,0.8165197372,0.7063643932,0.841522336,0.775498271,0.8394808769,0.7908226252,0.8330067992,0.782805562,0.7779358625,0.8023086786,0.8446825743,0.8416441679,0.8021000028,0.7812831402,0.8346697092,0.7159121037
blu,0.7962251306,0.7197414637,0.8103069067,0.8935422897,0.845683217,0.7497876883,0.7818201184,0.8067548275,0.731304884,0.8460803032,0.7066195011,0.7846429348,0.8354643583,0.6962076426,0.7644519806,0.8124957085,0.8175550699,0.7663269043,0.6723850965,0.7894040346
bmj,0.8843479156,0.8949406147,0.8370563984,0.8251237273,0.8491594791,0.8130494356,0.845736146,0.8406676054,0.7856672406,0.83475703,0.8782773018,0.8621341586,0.8218436241,0.8682262301,0.8223670125,0.7706316113,0.8464303017,0.82708323,0.8151562214,0.761844337
bmw,0.8117617965,0.8209928274,0.7932839394,0.7583857179,0.8826707006,0.7643414736,0.734380722,0.7049605846,0.7920885086,0.9019287825,0.7345209122,0.7378092408,0.798255682,0.7716203928,0.7030208707,0.8223453164,0.7381106615,0.81057024,0.7769354582,0.7158799171
bni,0.8114150763,0.8354277015,0.7657160163,0.8886902332,0.845885396,0.8845112324,0.9218826294,0.7887050509,0.7814599872,0.7977303267,0.8678270578,0.7816500664,0.7484102845,0.8008121252,0.7783105969,0.8210298419,0.7916511297,0.8194078207,0.818805337,0.8745589256
bnm,0.8193956614,0.8785574436,0.8491634727,0.7558287382,0.8555560112,0.7653679848,0.8660669923,0.7980732918,0.7989757061,0.8108898401,0.8130776882,0.8760427237,0.8391776085,0.7333585024,0.8288429976,0.8717038035,0.7493616343,0.8152855635,0.69580549,0.7809336185
bos,0.7501341701,0.8221265078,0.8778383732,0.7932738066,0.8885757923,0.8916041851,0.838958621,0.8367561102,0.8341895342,0.8852071166,0.8553670645,0.8299589157,0.8070542812,0.8609192371,0.7977745533,0.8806914687,0.8305882215,0.9126906395,0.8992354274,0.8403499126
bpg,0.6659146547,0.8282054663,0.6926105618,0.7343582511,0.8632329106,0.7725256681,0.7536664009,0.7369075418,0.8351268768,0.6627802849,0.8566479683,0.7031805515,0.8430535197,0.862947464,0.9015626311,0.7705823779,0.8307430744,0.9555237293,0.8178614378,0.8035769463
bph,0.9118499756,0.743910253,0.8850840926,0.8581750393,0.7271366119,0.7969151139,0.7761448622,0.8707402349,0.867806673,0.746925056,0.8585373163,0.7422857881,0.8153899908,0.7769508958,0.7304716706,0.796387434,0.8197029829,0.8181744218,0.7666447163,0.7428233027
